name	score
Stand by Me	8.1
Ferris Bueller's Day Off	7.8
Top Gun	6.9
Aliens	8.4
Flight of the Navigator	6.9
Platoon	8.1
Labyrinth	7.4
Blue Velvet	7.8
Pretty in Pink	6.8
The Fly	7.5
Crocodile Dundee	6.5
Highlander	7.2
Lucas	6.8
Big Trouble in Little China	7.3
Manhunter	7.2
9½ Weeks	5.9
Maximum Overdrive	5.4
Little Shop of Horrors	6.9
The Wraith	5.9
Howard the Duck	4.6
Critters	6.0
Back to School	6.6
The Texas Chainsaw Massacre 2	5.6
Heartbreak Ridge	6.8
Star Trek IV: The Voyage Home	7.3
Short Circuit	6.6
The Name of the Rose	7.8
Iron Eagle	5.3
The Golden Child	5.9
River's Edge	7.1
¡Three Amigos!	6.4
Cobra	5.7
Betty Blue	7.4
The Mission	7.5
The Color of Money	7.0
The Karate Kid Part II	5.9
The Boy Who Could Fly	6.5
The Hitcher	7.3
The Money Pit	6.3
Jason Lives: Friday the 13th Part VI	5.9
The Mosquito Coast	6.6
An American Tail	6.9
Sid and Nancy	7.1
King Kong Lives	3.8
From Beyond	6.7
Peggy Sue Got Married	6.3
Poltergeist II: The Other Side	5.7
Troll	4.3
Running Scared	6.5
Wildcats	5.9
Henry: Portrait of a Serial Killer	7.0
SpaceCamp	5.6
Hannah and Her Sisters	8.0
The Great Mouse Detective	7.2
Raw Deal	5.5
The Transformers: The Movie	7.3
Rad	7.2
Night of the Creeps	6.8
Invaders from Mars	5.5
Crossroads	7.1
Hoosiers	7.6
Sacrifice	8.1
At Close Range	7.0
Youngblood	6.1
No Retreat, No Surrender	5.6
Psicosis III	5.3
Heartburn	6.1
The Clan of the Cave Bear	5.3
The Delta Force	5.6
Deadly Friend	5.5
About Last Night...	6.2
Soul Man	5.2
One Crazy Summer	6.4
Trick or Treat	5.8
Gung Ho	6.2
The Morning After	6.0
Police Academy 3: Back in Training	5.2
She's Gotta Have It	6.6
Ruthless People	6.9
Band of the Hand	6.3
52 Pick-Up	6.4
Children of a Lesser God	7.2
Armed and Dangerous	5.6
Down by Law	7.8
F/X	6.7
The Adventures of Milo and Otis	7.1
Something Wild	6.9
The Manhattan Project	6.1
April Fool's Day	6.2
Solarbabies	4.8
The Big Easy	6.6
Jumpin' Jack Flash	5.8
Piratas	6.1
When the Wind Blows	7.8
Tough Guys	6.2
Matador	7.0
Black Moon Rising	5.4
The Best of Times	5.9
Witchboard	5.7
Down and Out in Beverly Hills	6.1
Lady Jane	7.2
Quicksilver	5.6
My Little Pony: The Movie	6.0
